Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL
2009-12-31,64.37661743164061,20.377853393554688,,8.729999542236326,33.685592651367195,10.02183437347412,36.77999877929688,9.68000030517578,39.517173767089844,10.652813911437988,65.80735778808594,18.205232620239254,20.424760818481445,57.86285018920898,25.34000015258789,7.787446022033691,31.32616233825684,47.61516952514648,24.40999984741211,17.81999969482422,,37.34217071533203,62.38404846191406,10.588582038879396,24.314476013183594,310.30029296875,308.8324279785156,12.047592163085938,134.52000427246094,,18.66367721557617,4.594575881958008,23.471405029296875,35.03719711303711,22.162864685058594,37.44886016845703,17.375354766845707,30.95255470275879,22.536848068237305,15.975725173950195,46.65230941772461,21.49458122253418,24.434972763061523,43.459999084472656,50.66122817993164,34.086044311523445,6.267147541046143,89.128662109375,11.977822303771973,26.272409439086914
2010-01-04,64.64919281005861,20.55525016784668,,8.739999771118164,34.14825439453125,10.193224906921387,37.09000015258789,9.699999809265137,39.41954803466797,10.940942764282227,67.30229187011719,18.72482109069824,20.575950622558594,59.36190795898438,25.920000076293945,7.857298851013184,32.80761337280273,47.06709671020508,24.125,18.5,,37.98323059082031,63.63966369628906,10.620073318481444,24.613954544067386,313.6886901855469,312.20477294921875,12.145787239074707,133.89999389648438,,18.53680419921875,4.528125762939453,23.57259559631348,35.3830680847168,22.09632873535156,37.66553115844727,17.561437606811527,31.7977294921875,23.02095031738281,16.12612533569336,47.60070419311523,21.382871627807614,24.50461196899414,44.63999938964844,51.93014144897461,33.73042678833008,6.443360805511475,91.46118927001952,12.007916450500488,26.68132972717285
2010-01-05,64.24425506591797,20.389175415039066,,8.529999732971191,34.35930633544922,10.21126651763916,37.70000076293945,9.710000038146973,39.18525314331055,10.828889846801758,67.8397216796875,19.26802062988281,20.352447509765625,58.86937713623047,26.690000534057614,8.287679672241211,32.74732208251953,46.57087707519531,23.78000068664551,18.010000228881836,,37.60614013671875,63.76520919799805,10.868517875671387,25.018653869628906,312.30731201171875,310.8299255371094,12.15192413330078,134.69000244140622,,18.463350296020508,5.040743350982666,23.302734375,35.305259704589844,21.682350158691406,38.28954315185547,17.73976707458496,32.53925323486328,22.85670280456543,16.055097579956055,47.18834686279297,20.936033248901367,24.465919494628906,43.63999938964844,52.49507522583008,33.51705551147461,6.361032009124756,92.54107666015624,12.308865547180176,26.72746467590332
2010-01-06,65.15534973144531,20.502405166625977,,8.399999618530272,34.72457504272461,10.157143592834473,37.61999893188477,9.56999969482422,39.52694320678711,10.716841697692873,69.16855621337889,19.43728828430176,20.280134201049805,58.38395690917969,26.46999931335449,8.21331787109375,32.80761337280273,46.32647705078125,23.84000015258789,17.479999542236328,,37.72868347167969,64.08393859863281,10.952497482299805,25.02674674987793,304.4344482421875,302.9942932128906,12.329909324645994,132.25,,18.336484909057614,4.831900119781494,23.53886985778809,35.87596130371094,21.541889190673828,38.48887634277344,17.832805633544922,32.99373245239258,22.640583038330078,16.071807861328125,46.833740234375,21.015167236328125,24.41949844360352,43.349998474121094,53.34682846069336,33.50817108154297,6.363919734954834,93.992431640625,12.527054786682127,26.302330017089844
2010-01-07,65.20206451416016,20.67225456237793,,8.399999618530272,34.692100524902344,9.91358757019043,36.88999938964844,9.470000267028807,39.517173767089844,10.724845886230467,68.85588836669922,19.645906448364254,20.25383758544922,58.04845428466797,26.479999542236328,8.17050838470459,32.57506561279297,46.75604248046875,23.93000030517578,17.430000305175778,,37.427005767822266,64.67311096191406,11.011982917785645,25.15625762939453,297.34735107421875,295.94073486328125,12.31149673461914,130.0,,18.162860870361328,4.974292278289795,23.74126434326172,36.45780944824219,21.127906799316406,38.38486862182617,17.871572494506836,33.240894317626946,22.27750015258789,16.11358642578125,46.4049072265625,20.875526428222656,24.22606468200684,43.459999084472656,55.32841873168945,33.410369873046875,6.382697582244872,92.56697845458984,12.986004829406738,26.253704071044922
2010-01-08,65.66151428222656,20.77793884277344,,8.229999542236326,34.55411529541016,9.832404136657717,36.68999862670898,9.43000030517578,39.67335891723633,11.028982162475586,68.22077178955078,19.449092864990234,20.24726676940918,58.41965866088867,26.479999542236328,8.008270263671875,33.06601333618164,46.60050964355469,23.97500038146973,17.65999984741211,,37.15360641479492,65.36852264404297,11.225436210632324,25.261474609375,301.3113098144531,299.8859558105469,12.342182159423828,133.52000427246094,,18.03599166870117,4.879363059997559,24.02461814880371,36.43176651000977,21.689739227294922,38.46287155151367,17.832805633544922,33.360519409179695,22.51955986022949,16.42692756652832,46.81724548339844,21.029129028320312,24.365339279174805,43.7599983215332,55.57177352905274,33.68597412109375,6.47658109664917,92.0832061767578,12.685051918029785,26.42824935913086
2010-01-11,65.396728515625,20.88361930847168,,8.079999923706055,34.521652221679695,9.823382377624512,36.209999084472656,9.140000343322754,39.28286743164063,11.101016998291016,68.68001556396484,19.960805892944336,20.260412216186523,59.49042129516602,26.38999938964844,7.9586968421936035,32.919586181640625,46.84491348266602,23.82999992370605,17.540000915527347,,37.49299621582031,65.43612670898439,11.200939178466797,25.261474609375,300.8558654785156,299.4326477050781,12.434245109558105,130.30999755859378,,18.182899475097656,4.784433841705322,24.27425575256348,36.01490020751953,21.90412139892578,38.11620330810547,18.01113510131836,33.791072845458984,22.77025985717773,16.523008346557614,47.023414611816406,21.080320358276367,24.22606468200684,43.93000030517578,55.89335632324219,33.82822036743164,6.446249008178711,92.35965728759766,12.782862663269045,26.19511413574219
2010-01-12,65.45124053955078,20.823226928710934,,7.889999866485597,34.302490234375,9.71513557434082,35.65999984741211,8.649999618530272,38.599517822265625,10.972954750061037,68.17191314697266,19.858461380004886,20.017183303833008,58.73374938964844,26.15999984741211,8.136709213256836,32.463088989257805,46.91156768798828,23.5,17.229999542236328,,37.44585037231445,64.36404418945311,11.204439163208008,25.23719024658203,295.5355224609375,294.13751220703125,12.36673355102539,127.3499984741211,,18.162860870361328,4.82240629196167,24.031368255615234,36.49254989624024,21.039194107055664,37.64821243286133,17.925853729248047,33.24888229370117,22.92586326599121,16.18460464477539,46.20697784423828,20.61952781677246,23.22019195556641,42.7400016784668,55.15459823608398,33.77487945556641,6.401474475860597,90.96014404296876,12.451814651489258,25.897146224975586
2010-01-13,65.24098968505861,21.020931243896484,,7.960000038146973,34.692100524902344,9.841424942016602,36.27999877929688,9.149999618530273,39.13644409179688,11.269091606140135,68.90473175048828,20.07496452331543,20.174951553344727,59.31908798217773,26.040000915527344,8.413865089416504,32.79039764404297,47.03747940063477,23.56999969482422,17.579999923706055,,38.54887008666992,64.34473419189453,11.309415817260742,25.46381950378418,293.8388366699219,292.4488220214844,12.421968460083008,129.11000061035156,,18.283058166503906,5.202122211456299,24.32822036743164,36.60544967651367,21.48275184631348,38.44554138183594,18.003385543823242,33.65550994873047,23.37538909912109,16.230560302734375,46.61932373046875,20.94534111022949,23.21245574951172,43.040000915527344,56.46698760986328,33.837108612060554,6.365364074707031,92.28189849853516,12.797911643981935,26.262434005737305
2010-01-14,65.02297210693361,21.043739318847656,,8.25,35.00054931640625,9.796320915222168,35.900001525878906,9.0,38.61904525756836,11.27709674835205,67.634521484375,20.33868789672852,20.477344512939453,58.58381652832031,26.8799991607666,8.427384376525879,32.661190032958984,47.02265167236328,23.834999084472656,17.129999160766598,,38.74683380126953,64.41234588623047,11.43538761138916,25.60951232910156,295.22021484375,293.82366943359375,12.507891654968262,127.3499984741211,,18.349834442138672,5.3065452575683585,24.42267608642578,37.065731048583984,21.142690658569336,38.662208557128906,17.81730079650879,33.504024505615234,23.522348403930664,16.234737396240234,46.314186096191406,21.080320358276367,23.18923759460449,43.4900016784668,57.55339050292969,33.57040405273437,6.39569616317749,92.78296661376952,12.654958724975586,26.110340118408203
